shortName,firstName,lastName,seat
HLBlack,Hugo,Black,1
SFReed,Stanley,Reed,6
FFrankfurter,Felix,Frankfurter,2
WODouglas,William,Douglas,4
FMurphy,Frank,Murphy,7
RHJackson,Robert,Jackson,5
WBRutledge,Wiley,Rutledge,3
HHBurton,Harold,Burton,8
FMVinson,Fred,Vinson,0
TCClark,Tom,Clark,7
SMinton,Sherman,Minton,3
EWarren,Earl,Warren,0
JHarlan2,John,Harlan,5
WJBrennan,William,Brennan,3
CEWhittaker,Charles,Whittaker,6
PStewart,Potter,Stewart,8
BRWhite,Byron,White,6
AJGoldberg,Arthur,Goldberg,2
AFortas,Abe,Fortas,2
TMarshall,Thurgood,Marshall,7
WEBurger,Warren,Burger,0
HABlackmun,Harry,Blackmun,2
LFPowell,Lewis,Powell,1
WHRehnquist,William,Rehnquist,0
JPStevens,John Paul,Stevens,4
SDOConnor,Sandra Day,O'Connor,8
AScalia,Antonin,Scalia,5
AMKennedy,Anthony,Kennedy,1
DHSouter,David,Souter,3
CThomas,Clarence,Thomas,7
RBGinsburg,Ruth Bader,Ginsburg,6
SGBreyer,Stephen,Breyer,2
JGRoberts,John,Roberts,0
SAAlito,Samuel,Alito,8
SSotomayor,Sonia,Sotomayor,3
EKagan,Elena,Kagan,4
NGorsuch,Niel,Gorsuch,5
